order_item_id,order_id,product_id,quantity,discount,final_price
1,O10000,P1447,1,50,1992
2,O10001,P1048,1,150,4608
3,O10001,P1103,1,0,3365
4,O10001,P1212,1,0,3192
5,O10002,P1029,2,0,8278
6,O10002,P1069,2,0,2120
7,O10002,P1122,2,100,8108
8,O10003,P1284,1,0,4511
9,O10004,P1258,1,100,859
10,O10004,P1089,1,0,4681
11,O10004,P1159,2,50,3742
12,O10005,P1421,2,0,2852
13,O10006,P1387,1,200,4786
14,O10006,P1343,2,0,7644
15,O10007,P1337,1,50,3892
16,O10007,P1001,1,0,1839
17,O10007,P1137,1,200,3307
18,O10008,P1002,2,0,8544
19,O10008,P1371,1,100,4093
20,O10009,P1082,2,100,8694
21,O10010,P1098,1,50,2391
22,O10010,P1254,2,0,5336
23,O10010,P1442,2,0,8072
24,O10011,P1133,2,150,6004
25,O10011,P1138,1,0,2723
26,O10012,P1390,1,150,2810
27,O10013,P1283,2,0,3072
28,O10014,P1437,2,50,7692
29,O10014,P1220,2,0,9964
30,O10014,P1272,1,50,2413
31,O10015,P1206,2,0,6588
32,O10016,P1095,1,150,2100
33,O10016,P1025,1,150,3785
34,O10017,P1397,1,50,1142
35,O10017,P1029,1,50,4089
36,O10018,P1014,2,0,2182
37,O10019,P1334,2,0,2738
38,O10020,P1183,1,0,4219
39,O10021,P1393,1,50,2215
40,O10021,P1024,2,0,8860
41,O10021,P1090,1,0,3544
42,O10022,P1063,2,0,9924
43,O10023,P1250,1,50,1723
44,O10023,P1065,2,100,2310
45,O10023,P1069,1,0,1060
46,O10024,P1085,1,150,1111
47,O10024,P1089,1,0,4681
48,O10024,P1018,1,0,4074
49,O10025,P1213,1,0,2025
50,O10026,P1423,2,200,8504
51,O10026,P1325,2,100,3798
52,O10027,P1339,2,0,2408
53,O10027,P1451,1,100,1869
54,O10028,P1102,2,0,9816
55,O10029,P1235,2,0,1504
56,O10029,P1355,1,0,1398
57,O10029,P1328,2,0,7776
58,O10030,P1371,2,150,8086
59,O10031,P1181,1,100,1651
60,O10031,P1011,2,100,8118
61,O10031,P1174,1,150,3971
62,O10032,P1021,1,50,2159
63,O10032,P1171,2,0,4406
64,O10033,P1150,1,0,3229
65,O10034,P1108,2,0,1682
66,O10035,P1350,2,100,9400
67,O10036,P1074,1,0,3029
68,O10037,P1141,2,0,2374
69,O10037,P1014,2,0,2182
70,O10037,P1339,2,50,2308
71,O10038,P1006,1,0,1660
72,O10038,P1403,2,50,5848
73,O10038,P1092,2,100,3554
74,O10039,P1116,1,0,2896
75,O10040,P1214,2,150,9374
76,O10041,P1302,2,50,3152
77,O10041,P1180,2,0,7960
78,O10041,P1424,1,0,515
