session_id,customer_id,device_type,traffic_source,session_start,pages_viewed,time_spent,purchase_made
S10000,C2336,mobile,search,2025-07-06 17:57:57,1,26,no
S10001,C1104,mobile,ads,2025-10-10 17:16:58,9,23,yes
S10002,C1734,desktop,direct,2025-02-21 18:01:06,2,23,yes
S10003,C1984,desktop,search,2025-09-20 13:53:20,2,22,yes
S10004,C2660,desktop,search,2025-05-06 14:35:59,5,5,no
S10005,C3454,tablet,social,2025-10-03 21:57:39,9,9,no
S10006,C2497,desktop,social,2024-12-04 02:27:13,6,20,no
S10007,C2456,desktop,direct,2024-10-29 22:45:59,7,2,no
S10008,C1076,desktop,direct,2025-08-31 21:06:23,8,3,yes
S10009,C1848,mobile,direct,2024-12-09 22:16:08,8,4,yes
S10010,C2263,mobile,social,2025-08-30 02:53:54,8,7,no
S10011,C1481,desktop,search,2025-08-12 23:16:00,9,2,no
S10012,C3716,mobile,search,2024-12-01 14:05:45,6,24,yes
S10013,C3610,mobile,search,2025-01-23 08:52:56,3,15,no
S10014,C2327,mobile,direct,2024-11-18 21:54:57,3,12,no
S10015,C2261,tablet,search,2024-12-28 19:04:49,9,14,no
S10016,C3539,mobile,social,2025-03-15 00:33:09,3,16,no
S10017,C2239,desktop,social,2024-11-15 05:47:05,5,27,no
S10018,C2379,mobile,social,2024-12-19 19:45:45,2,16,no
S10019,C1345,desktop,search,2025-05-31 02:53:52,1,12,no
S10020,C1152,desktop,search,2025-08-28 06:26:33,2,16,yes
S10021,C1282,mobile,social,2025-01-21 00:48:42,7,24,no
S10022,C2289,mobile,social,2025-08-19 11:58:41,2,4,yes
S10023,C2432,desktop,social,2024-11-23 22:49:40,2,5,yes
S10024,C2783,desktop,social,2025-09-21 10:29:57,2,1,no
S10025,C1820,mobile,search,2024-11-19 07:12:28,3,18,no
S10026,C2169,mobile,social,2024-10-24 18:13:17,2,24,no
S10027,C3742,desktop,ads,2025-07-28 20:10:05,4,18,yes
S10028,C2524,desktop,social,2024-10-26 05:39:30,4,4,no
S10029,C3767,desktop,ads,2025-08-03 01:01:54,7,10,no
S10030,C2733,mobile,ads,2025-08-30 09:58:42,3,18,no
S10031,C2554,mobile,social,2025-03-02 11:55:41,1,2,yes
S10032,C3647,desktop,search,2025-09-23 22:47:47,1,23,yes
S10033,C1245,mobile,search,2025-10-08 23:59:23,4,17,no
S10034,C2467,mobile,search,2025-06-17 19:28:19,3,3,yes
S10035,C3499,tablet,search,2024-11-17 08:20:11,3,2,no
S10036,C2067,mobile,social,2024-12-20 16:37:08,7,12,yes
S10037,C3744,mobile,social,2025-06-04 07:59:27,6,26,no
S10038,C3069,desktop,search,2025-06-21 04:14:31,9,28,no
S10039,C3623,mobile,search,2025-09-24 09:53:10,6,19,yes
S10040,C1892,desktop,search,2025-04-17 22:56:37,9,25,no
S10041,C1294,mobile,social,2025-06-23 01:41:41,5,17,no
S10042,C3081,mobile,search,2025-09-25 05:00:46,5,27,yes
